,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
138,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,66,4.5501000000000005,-74.0924,0.258824863920077,0.13988284974597293
139,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,45,4.5501000000000005,-74.1101,0.0327112373622836,0.017678908554806097
140,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,63,4.5021,-74.1014,0.0010617704608593184,0.0005738377511016843
141,32,-74.071676,4.573171,493,SAN BLAS,SAN CRISTOBAL,4,5760,2,84,4.5021,-74.0838,0.2596173122391825,0.14031113135491108
142,33,-74.079163,4.579714,471,SOSIEGO,SAN CRISTOBAL,4,0,0,88,4.5661000000000005,-74.0838,0.17938077438834504,0.24585703064350337
143,33,-74.079163,4.579714,471,SOSIEGO,SAN CRISTOBAL,4,0,0,89,4.5821000000000005,-74.0748,0.20034375572226662,0.27458862889736846
144,33,-74.079163,4.579714,471,SOSIEGO,SAN CRISTOBAL,4,0,0,68,4.5821000000000005,-74.0924,0.2692878031170849,0.36908247212461853
145,34,-74.096252,4.570469,593,20 DE JULIO,SAN CRISTOBAL,4,10842,3,66,4.5501000000000005,-74.0924,0.07689003395991052,0.0983318548559408
146,34,-74.096252,4.570469,593,20 DE JULIO,SAN CRISTOBAL,4,10842,3,88,4.5661000000000005,-74.0838,0.1283918608425658,0.1641956593703398
147,34,-74.096252,4.570469,593,20 DE JULIO,SAN CRISTOBAL,4,10842,3,68,4.5821000000000005,-74.0924,0.02007939659660064,0.025678806602702966
148,34,-74.096252,4.570469,593,20 DE JULIO,SAN CRISTOBAL,4,10842,3,67,4.5661000000000005,-74.1014,0.48202171035712743,0.6164399522175025
149,35,-74.085484,4.586029,463,CIUDAD JARDIN,ANTONIO NARI?O,15,3188,3,47,4.5821000000000005,-74.1101,0.05286356101512948,0.08362884965391645
150,35,-74.085484,4.586029,463,CIUDAD JARDIN,ANTONIO NARI?O,15,3188,3,68,4.5821000000000005,-74.0924,0.5138437646250418,0.8128881617553437
151,35,-74.085484,4.586029,463,CIUDAD JARDIN,ANTONIO NARI?O,15,3188,3,90,4.5981000000000005,-74.0838,0.013561982322462675,0.02145472152982099
152,36,-74.105022,4.572471,975,SAN JOSE,RAFAEL URIBE URIBE,18,0,0,68,4.5821000000000005,-74.0924,0.059811027679109605,0.0986292322978778
153,36,-74.105022,4.572471,975,SAN JOSE,RAFAEL URIBE URIBE,18,0,0,47,4.5821000000000005,-74.1101,0.14564829163714196,0.24017609706923831
154,36,-74.105022,4.572471,975,SAN JOSE,RAFAEL URIBE URIBE,18,0,0,67,4.5661000000000005,-74.1014,0.31614677674903957,0.5213305153607507
155,37,-74.090228,4.594903,446,SANTA ISABEL,LOS MARTIRES,14,8199,3,69,4.5981000000000005,-74.1014,0.48109624795171396,0.5777215211053073
156,37,-74.090228,4.594903,446,SANTA ISABEL,LOS MARTIRES,14,8199,3,90,4.5981000000000005,-74.0838,0.18142487070935767,0.21786295927018653
157,37,-74.090228,4.594903,446,SANTA ISABEL,LOS MARTIRES,14,8199,3,68,4.5821000000000005,-74.0924,0.11022632746587338,0.13236461901450422
158,38,-74.10425,4.589331,502,RESTREPO,ANTONIO NARI?O,15,11041,3,28,4.5821000000000005,-74.1277,0.010178850983738687,0.012246701974366494
159,38,-74.10425,4.589331,502,RESTREPO,ANTONIO NARI?O,15,11041,3,48,4.5981000000000005,-74.1191,0.27563570795472997,0.33163157356442907
160,38,-74.10425,4.589331,502,RESTREPO,ANTONIO NARI?O,15,11041,3,47,4.5821000000000005,-74.1101,0.14633874789166362,0.1760677148721648
161,38,-74.10425,4.589331,502,RESTREPO,ANTONIO NARI?O,15,11041,3,29,4.5981000000000005,-74.1367,0.0038579542378569644,0.004641704241201553
162,38,-74.10425,4.589331,502,RESTREPO,ANTONIO NARI?O,15,11041,3,69,4.5981000000000005,-74.1014,0.2800984639484243,0.33700094607281983
163,39,-74.129806,4.578749,987,QUIROGA,RAFAEL URIBE URIBE,18,2194,3,47,4.5821000000000005,-74.1101,0.5606825985331484,0.4496724889679872
164,39,-74.129806,4.578749,987,QUIROGA,RAFAEL URIBE URIBE,18,2194,3,28,4.5821000000000005,-74.1277,0.57920445735556,0.46452718640068297
165,39,-74.129806,4.578749,987,QUIROGA,RAFAEL URIBE URIBE,18,2194,3,46,4.5661000000000005,-74.1191,0.025467564205331736,0.020425215646293113
166,40,-74.102363,4.607041,432,CIUDAD MONTES,PUENTE ARANDA,16,7363,3,48,4.5981000000000005,-74.1191,0.33338070297883515,0.2549628127139304
167,40,-74.102363,4.607041,432,CIUDAD MONTES,PUENTE ARANDA,16,7363,3,30,4.6141,-74.1277,0.11940183112760161,0.09131610328813698
168,40,-74.102363,4.607041,432,CIUDAD MONTES,PUENTE ARANDA,16,7363,3,69,4.5981000000000005,-74.1014,0.2342395489931392,0.17914166514888166
169,40,-74.102363,4.607041,432,CIUDAD MONTES,PUENTE ARANDA,16,7363,3,49,4.6141,-74.1101,0.5031103460869096,0.38476860777374083
170,41,-74.133614,4.599199,513,MUZU,PUENTE ARANDA,16,8218,3,30,4.6141,-74.1277,0.005344261615500018,0.007456632303863784
171,41,-74.133614,4.599199,513,MUZU,PUENTE ARANDA,16,8218,3,29,4.5981000000000005,-74.1367,0.2808174564784476,0.3918132509443292
172,41,-74.133614,4.599199,513,MUZU,PUENTE ARANDA,16,8218,3,48,4.5981000000000005,-74.1191,0.3895798184170896,0.5435649801493607
173,42,-74.14056,4.57134,630,VENECIA,TUNJUELITO,6,0,0,46,4.5661000000000005,-74.1191,0.00046691066183806494,0.0002450499500831055
174,42,-74.14056,4.57134,630,VENECIA,TUNJUELITO,6,0,0,29,4.5981000000000005,-74.1367,0.2518274749342103,0.1321672756823558
175,42,-74.14056,4.57134,630,VENECIA,TUNJUELITO,6,0,0,28,4.5821000000000005,-74.1277,0.4089916896341574,0.21465218364196392
176,42,-74.14056,4.57134,630,VENECIA,TUNJUELITO,6,0,0,26,4.5661000000000005,-74.1367,0.2818627449012019,0.14793076537687158
177,42,-74.14056,4.57134,630,VENECIA,TUNJUELITO,6,0,0,8,4.5821000000000005,-74.1454,0.7516340859883758,0.39448209327053785
178,43,-74.121241,4.625978,381,SAN RAFAEL,PUENTE ARANDA,16,0,0,48,4.5981000000000005,-74.1191,0.0014398015896214308,0.0013651919226876231
179,43,-74.121241,4.625978,381,SAN RAFAEL,PUENTE ARANDA,16,0,0,30,4.6141,-74.1277,0.2165778092518701,0.20535487525178717
180,43,-74.121241,4.625978,381,SAN RAFAEL,PUENTE ARANDA,16,0,0,49,4.6141,-74.1101,0.3500884457059864,0.33194706947763686
181,43,-74.121241,4.625978,381,SAN RAFAEL,PUENTE ARANDA,16,0,0,50,4.6301,-74.1191,0.3158667609833878,0.2994987322200443
182,43,-74.121241,4.625978,381,SAN RAFAEL,PUENTE ARANDA,16,0,0,71,4.6301,-74.1014,0.035640458920972416,0.03379359141601226
183,44,-74.132107,4.627542,421,AMERICAS,KENNEDY,8,11738,3,10,4.6141,-74.1454,0.06606530192462862,0.055435978889112905
184,44,-74.132107,4.627542,421,AMERICAS,KENNEDY,8,11738,3,29,4.5981000000000005,-74.1367,0.009437490207015752,0.007919081463961326
185,44,-74.132107,4.627542,421,AMERICAS,KENNEDY,8,11738,3,30,4.6141,-74.1277,0.3203770461007347,0.26883121164660473
186,44,-74.132107,4.627542,421,AMERICAS,KENNEDY,8,11738,3,50,4.6301,-74.1191,0.08257598395151489,0.069290238139022
